Name,Description,Property 1 Type,Property 1 Name,Property 1 Value,Property 2 Type,Property 2 Name,Property 2 Value,Property 3 Type,Property 3 Name,Property 3 Value,Property 4 Type,Property 4 Name,Property 4 Value,Property 5 Type,Property 5 Name,Property 5 Value,Property 6 Type,Property 6 Name,Property 6 Value,Property 7 Type,Property 7 Name,Property 7 Value
Dragonfly,It's a dragonfly!,string,isa,Dragonfly,string,isa,Insect,string,is,Rainbow,string,contains,Wings,string,contains,Legs,,,,,,
Butterfly,It's a butterfly!,string,isa,Butterfly,string,isa,Insect,string,is,Orange,string,contains,Wings,string,contains,Legs,,,,,,
Chrysalis,It's a chrysalis!,string,isa,Chrysalis,string,contains,Butterfly,,,,,,,,,,,,,,,
Slug,It's a slug!,string,isa,Slug,string,is,Slimy,string,isa,Insect,string,is,Disgusting,,,,,,,,,
Snail,It's a snail!,string,isa,Snail,string,is,Slimy,string,isa,Insect,string,is,Disgusting,string,contains,Shell,,,,,,
Snake,It's a snake!,string,isa,Snake,string,is,Poisonous,string,isa,Animal,string,isa,Reptile,string,is,Scary,,,,,,
Rat,It's a rat!,string,isa,Rat,string,is,Scary,string,isa,Animal,string,is,Disgusting,,,,,,,,,
Mouse,It's a mouse!,string,isa,Mouse,string,is,Cute,string,isa,Animal,string,is,Disgusting,,,,,,,,,
Squirrel,It's a squirrel!,string,isa,Squirrel,string,is,Cute,string,isa,Animal,,,,,,,,,,,,
Mole,It's a mole!,string,isa,Mole,string,is,Cute,string,isa,Animal,,,,,,,,,,,,
Saddle,It's a saddle!,string,isa,Saddle,string,madeOf,Leather,string,is,Brown,,,,,,,,,,,,
Nest,It's a nest!,string,isa,Nest,string,contains,Empty,,,,,,,,,,,,,,,
Frog,It's a frog!,string,isa,Frog,string,isa,Animal,string,isa,Reptile,string,is,Green,string,is,Slimy,string,is,Cute,,,
Lizard,It's a lizard!,string,isa,Lizard,string,isa,Animal,string,isa,Reptile,string,is,Green,,,,,,,,,
Crab,It's a crab!,string,isa,Crab,string,isa,Seafood,string,isa,Food,string,is,Red,string,is,Sharp,string,isa,Sealife,,,
Lobster,It's a lobster!,string,isa,Lobster,string,isa,Seafood,string,isa,Food,string,is,Red,string,is,Sharp,string,isa,Sealife,,,
Starfish,It's a starfish!,string,isa,Starfish,string,isa,Sealife,,,,,,,,,,,,,,,
Urchin,It's an urchin!,string,isa,Urchin,string,is,Poisonous,string,is,Black,string,is,Pointy,string,isa,Sealife,,,,,,
Coral,It's some coral!,string,isa,Coral,string,isa,Sealife,,,,,,,,,,,,,,,
Octopus,It's an octopus!,string,isa,Octopus,string,isa,Seafood,string,isa,Food,string,is,Red,string,contains,Legs,string,isa,Sealife,,,
Squid,It's a squid!,string,isa,Squid,string,isa,Seafood,string,isa,Food,string,is,Red,string,contains,Legs,string,isa,Sealife,,,
Seahorse,It's a seahorse!,string,isa,Seahorse,string,isa,Sealife,string,,,,,,,,,,,,,,
Jellyfish,It's a jellyfish!,string,isa,Jellyfish,string,is,Poisonous,string,isa,Sealife,,,,,,,,,,,,
Clam,It's a clam!,string,isa,Clam,string,isa,Seafood,string,contains,Shell,string,isa,Sealife,,,,,,,,,
Ruby,It's a ruby!,string,isa,Ruby,string,is,Red,string,is,Valuable,string,isa,Jewel,,,,,,,,,
Sapphire,It's a sapphire!,string,isa,Sapphire,string,is,Blue,string,is,Valuable,string,isa,Jewel,,,,,,,,,
Amethyst,It's an amethyst!,string,isa,Amethyst,string,is,Purple,string,is,Valuable,string,isa,Jewel,,,,,,,,,
Emerald,It's an emerald!,string,isa,Emerald,string,is,Green,string,is,Valuable,string,isa,Jewel,,,,,,,,,
GoldIngot,It's a gold ingot!,string,isa,GoldIngot,string,is,Valuable,string,is,Gold,string,is,Heavy,string,is,Metal,,,,,,
SilverIngot,It's a silver ingot!,string,isa,SilverIngot,string,is,Valuable,string,is,Silver,string,is,Heavy,string,is,Metal,,,,,,
BronzeIngot,It's a bronze ingot!,string,isa,BronzeIngot,string,is,Valuable,string,is,Bronze,string,is,Heavy,string,is,Metal,,,,,,
Bible,It's a bible!,string,isa,Bible,string,isa,Book,string,is,Paper,string,is,Holy,,,,,,,,,
Candle,It's a candle!,string,isa,Candle,string,isa,LightSource,string,contains,Wax,string,is,Hot,,,,,,,,,
Money,It's some money!,string,isa,Money,string,is,Valuable,string,is,Metal,,,,,,,,,,,,
Diamond,It's a diamond!,string,isa,Diamond,string,is,Valuable,string,isa,Jewel,,,,,,,,,,,,
WineGlass,It's a wine glass!,string,isa,WineGlass,string,isa,Glass,string,isa,Container,string,contains,Empty,,,,,,,,,
Banana,It's a banana!,string,isa,Banana,string,isa,Fruit,string,isa,Food,string,is,Yellow,,,,,,,,,
Gift,It's a gift!,string,isa,Gift,string,isa,Container,string,contains,Empty,,,,,,,,,,,,
WizardHat,It's a wizard's hat!,string,isa,WizardHat,string,isa,Hat,string,is,Magic,,,,,,,,,,,,
WarriorHelmet,It's a warrior's helmet!,string,isa,WarriorHelmet,string,isa,Helmet,string,is,Metal,string,is,Armour,,,,,,,,,
Shield,It's a shield!,string,isa,Shield,string,isa,Weapon,string,is,Metal,,,,,,,,,,,,
Whip,It's a whip!,string,isa,Whip,string,isa,Weapon,string,madeOf,Leather,,,,,,,,,,,,
Dog,It's a dog!,string,isa,Dog,string,isa,Animal,string,is,Cute,,,,,,,,,,,,
Cat,Its's a cat!,string,isa,Cat,string,isa,Animal,string,is,Cute,,,,,,,,,,,,
Soldier,It's a soldier!,string,is,Soldier,string,is,NPC,,,,,,,,,,,,,,,
Animal,It's an animal!,string,contains,Legs,string,contains,Eyes,string,contains,Liver,,,,,,,,,,,,
Paper,It's paper!,string,isa,Paper,string,is,Flammable,string,is,Tearable,,,,,,,,,,,,
Fire,It's fire!,string,isa,Fire,string,is,Hot,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
